run_id,mode,workers,repeat,ok,failed,total_txn_s,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms
20260519T171512Z,baseline,1,1,1,0,39.439000,25.340680,25.340680,25.340680,25.340680
20260519T171512Z,baseline,1,2,1,0,39.425000,25.349760,25.349760,25.349760,25.349760
20260519T171512Z,baseline,1,3,1,0,39.442000,25.338750,25.338750,25.338750,25.338750
20260519T171512Z,baseline,8,1,8,0,316.085000,25.294929,25.282170,25.364811,25.398386
20260519T171512Z,baseline,8,2,8,0,316.893000,25.230580,25.193855,25.306638,25.308576
20260519T171512Z,baseline,8,3,8,0,315.571000,25.336415,25.320535,25.477108,25.509502
20260519T171512Z,baseline,32,1,32,0,1266.756000,25.247461,25.239830,25.453986,25.616352
20260519T171512Z,baseline,32,2,32,0,1271.744000,25.148018,25.116230,25.258977,25.262487
20260519T171512Z,baseline,32,3,32,0,1270.792000,25.166975,25.128940,25.363184,25.368934
20260519T171512Z,oncache,1,1,1,0,39.591000,25.243660,25.243660,25.243660,25.243660
20260519T171512Z,oncache,1,2,1,0,39.549000,25.270010,25.270010,25.270010,25.270010
20260519T171512Z,oncache,1,3,1,0,39.557000,25.265080,25.265080,25.265080,25.265080
20260519T171512Z,oncache,8,1,8,0,316.547000,25.258114,25.225255,25.342083,25.342873
20260519T171512Z,oncache,8,2,8,0,316.262000,25.281000,25.319235,25.350420,25.350644
20260519T171512Z,oncache,8,3,8,0,316.976000,25.224164,25.188215,25.381729,25.419034
20260519T171512Z,oncache,32,1,32,0,1268.816000,25.206262,25.146040,25.444784,25.505719
20260519T171512Z,oncache,32,2,32,0,1268.300000,25.216483,25.188065,25.443539,25.515084
20260519T171512Z,oncache,32,3,32,0,1266.995000,25.242451,25.253260,25.412930,25.488137
