run_id,mode,workers,repeat,ok,failed,total_txn_s,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms
overlay_stress_20260519T105250Z,baseline,1,1,1,0,39.368000,25.386390,25.386390,25.386390,25.386390
overlay_stress_20260519T105250Z,baseline,1,2,1,0,39.347000,25.399660,25.399660,25.399660,25.399660
overlay_stress_20260519T105250Z,baseline,1,3,0,0,0,0,0,0,0
overlay_stress_20260519T105250Z,baseline,8,1,8,0,317.149000,25.210194,25.195110,25.286166,25.321289
overlay_stress_20260519T105250Z,baseline,8,2,8,0,316.599000,25.253715,25.252545,25.262137,25.262363
overlay_stress_20260519T105250Z,baseline,8,3,8,0,318.610000,25.094456,25.094265,25.121620,25.125044
overlay_stress_20260519T105250Z,baseline,32,1,32,0,1274.892000,25.085806,25.061930,25.198712,25.210284
overlay_stress_20260519T105250Z,baseline,32,2,32,0,1271.759000,25.148043,25.168935,25.330952,25.495605
overlay_stress_20260519T105250Z,baseline,32,3,0,0,0,0,0,0,0
